2008_000023_3	5.099198816403919e-10
2008_000023_4	1.6025273113096908e-09
2008_000023_5	5.893642330564325e-13
2008_000028_1	7.596420860129148e-07
2008_000028_2	9.667772109347522e-13
2008_000036_1	1.2044768678552863e-06
2008_000041_6	7.681738902534247e-15
2008_000041_7	3.194402341355977e-07
2008_000041_9	9.398687707881536e-05
2008_000070_3	1.038829088230926e-15
2008_000141_2	2.4362019399523627e-12
2008_000143_1	2.495237222117325e-18
2008_000191_2	7.019173406007425e-19
2008_000191_3	1.8692509759124766e-10
2008_000202_1	1.558974230500454e-13
2008_000226_2	4.35110816314471e-15
2008_000226_3	1.675218423162376e-13
2008_000226_4	9.136411063538123e-16
2008_000237_1	2.0574247677806514e-07
2008_000237_2	4.021617161071122e-14
2008_000252_1	5.626605753119516e-12
2008_000252_4	1.647688295421135e-11
2008_000252_5	2.2973921101493072e-07
2008_000255_1	4.956430761241558e-18
2008_000275_1	4.522543471160676e-19
2008_000275_3	9.359387933456785e-11
2008_000275_4	2.524354369443516e-14
2008_000275_6	5.759756027669258e-18
2008_000275_7	3.271992484393659e-14
2008_000275_8	9.266436289723025e-15
2008_000291_2	5.330688396785243e-16
2008_000311_3	1.7839163740307838e-16
2008_000315_1	3.500116255796021e-14
2008_000315_2	8.613423547294069e-19
2008_000343_3	1.283922021292504e-19
2008_000356_1	5.823016776928356e-06
2008_000393_10	3.570003615654891e-12
2008_000393_11	5.583826670471275e-12
2008_000393_13	9.118334866765235e-07
2008_000393_7	4.537815660295546e-11
2008_000393_9	6.934073173738232e-08
2008_000437_1	5.157665565286289e-07
2008_000437_2	7.198608854138258e-11
2008_000471_2	8.091931845167212e-16
2008_000471_4	1.3340640826495048e-13
2008_000471_5	6.540804160849427e-16
2008_000480_3	1.0018532447421286e-18
2008_000480_4	7.274887022284492e-19
2008_000495_3	4.72290412537638e-12
2008_000545_2	0.0002619788465047177
2008_000583_1	9.683574110209695e-14
2008_000613_3	6.136345032741633e-08
2008_000613_4	1.490127905374309e-17
2008_000613_5	1.7984274481782784e-15
2008_000613_6	1.3033104132556478e-11
2008_000613_7	8.004131012641257e-14
2008_000619_1	6.528778131268413e-05
2008_000619_3	7.879169486751489e-07
2008_000648_2	4.393145708739431e-11
2008_000694_2	4.432897861607872e-07
2008_000719_3	1.2409699079037882e-18
2008_000719_4	1.921935071370347e-12
2008_000719_5	3.7775567195282295e-17
2008_000790_3	2.3371212347947413e-05
2008_000790_4	1.670732535369472e-10
2008_000792_1	2.548434239177043e-16
2008_000792_2	1.6065109753299695e-16
2008_000792_3	4.197187674152173e-16
2008_000792_4	6.217541390373589e-09
2008_000792_5	7.699304237449998e-10
2008_000792_6	4.202632326396848e-13
2008_000798_1	2.0106978800694483e-07
2008_000815_1	2.3070786197677544e-11
2008_000833_3	1.653611358489834e-15
2008_000833_4	7.588171067865998e-16
2008_000833_5	5.639159388817247e-11
2008_000833_6	9.645260008178929e-15
2008_000833_7	7.48025460406053e-16
2008_000851_1	1.7981872191997519e-06
2008_000851_2	1.473874473665905e-10
2008_000867_2	2.456247345499773e-13
2008_000867_3	2.1036760208337955e-09
2008_000873_6	1.3203787145833854e-07
2008_000908_1	1.3583947907925746e-15
2008_000908_2	5.280528473254451e-17
2008_000908_3	1.8074368295859928e-17
2008_000908_4	1.457413793572492e-15
2008_000908_5	1.0216055311875345e-16
2008_000908_6	1.3092997210907429e-17
2008_000908_7	4.853916842356056e-16
2008_000908_8	5.211352277619273e-18
2008_000928_4	2.5968480791674422e-09
2008_000928_7	1.612327013979552e-19
2008_000953_3	8.833807810860782e-19
2008_000979_4	2.4362019399523627e-12
2008_000981_2	1.0041609341835411e-13
2008_000987_7	1.5125175221488164e-10
2008_001022_3	1.4094496000068009e-11
2008_001035_1	1.79187258218994e-10
2008_001035_2	0.0022315552626448296
2008_001039_3	1.8692509759124766e-10
2008_001039_4	0.0001753155695959214
2008_001054_3	1.5695461962924115e-08
2008_001054_4	1.3902173650468707e-13
2008_001083_6	0.00043637157887819794
2008_001104_2	7.654925864033184e-05
2008_001130_2	1.1022861047583367e-16
2008_001133_5	0.0007021008390211007
2008_001143_2	1.8102424263533118e-09
2008_001143_3	9.898280542727011e-07
2008_001158_2	0.00013629301432051928
2008_001158_3	7.336670242585136e-12
2008_001159_2	2.4166298431759247e-10
2008_001161_1	2.626563867512652e-16
2008_001161_2	2.9257475342030075e-13
2008_001161_3	2.9257475342030075e-13
2008_001196_1	4.657879713876019e-15
2008_001196_2	1.0310379247100829e-14
2008_001223_1	3.5810699262120925e-08
2008_001223_6	8.268144313687153e-16
2008_001230_2	4.3237829488271706e-13
2008_001230_4	7.167279394619699e-08
2008_001302_2	7.028137899413271e-07
2008_001312_1	5.087858525844891e-18
2008_001312_2	6.847938654260481e-11
2008_001312_3	2.7433176676583465e-11
2008_001329_3	1.3203787145833854e-07
2008_001329_4	4.242496267470813e-12
2008_001329_5	2.7664336055328716e-15
2008_001329_6	9.067121213061044e-13
2008_001389_6	1.5207761148232465e-13
2008_001390_2	7.011032009330071e-14
2008_001440_1	1.227476866929558e-09
2008_001440_4	7.939455719049355e-15
2008_001461_5	2.7760096731244236e-05
2008_001464_3	9.842348918945487e-10
2008_001464_4	1.122784277633654e-12
2008_001464_5	3.299978776998011e-09
2008_001482_1	1.940439147475577e-12
2008_001500_1	8.294682054533003e-14
2008_001501_11	3.152697685396343e-17
2008_001501_7	6.027359500006433e-15
2008_001501_8	2.4949042272356664e-09
2008_001501_9	3.647796425954004e-11
2008_001541_1	2.708410705078632e-05
2008_001541_7	1.6268043477634044e-18
2008_001591_5	1.006713689983286e-11
2008_001591_8	4.39993800025975e-14
2008_001620_2	0.014006790955638108
2008_001620_3	1.718084599605884e-14
2008_001620_4	1.0809600693017696e-18
2008_001631_1	4.738654688014284e-10
2008_001631_2	6.001281255566988e-13
2008_001631_3	8.119157505128822e-17
2008_001694_3	9.207087943028949e-10
2008_001737_3	1.3686746225747146e-12
2008_001737_4	2.1947809174805598e-09
2008_001746_3	8.929565392251982e-16
